"","dhsclust","geocode","urban","stratum","domain_code","domain","province_code","province","district_code","district","commune_code","commune","village_code","village","ea_num","ea_num_hh","ea_sp","total_hh","num_eas_total","num_eas_selected","stratum_number","selection_prob","sampling_weight","dhslat","dhslon","geometry"
"24",185,607031003,2,6,5,"KAMPONG THOM",6,"KAMPONG THOM",7,"SANTUK",3,"KAMPONG THMA",10,"L'AK",3,119,0.022453,127201,1347,24,10,0.034090909,29.33333333,12.577593,105.189099,c(105.189099, 12.577593)
"25",191,608121202,2,5,5,"KAMPONG THOM",6,"KAMPONG THOM",8,"STOUNG",12,"SAMPROUCH",12,"DOUN L'A",2,139,0.026226,127201,1347,24,10,0.2,5,12.914971,104.57729,c(104.57729, 12.914971)
"26",199,703020905,2,3,16,"KAMPOT/KEP",7,"KAMPOT",3,"CHHUK",2,"TAKAEN",9,"CHEY SENA",5,115,0.020982,126061,1244,23,32,0.25,4,11.09109,104.27151,c(104.27151, 11.09109)
"27",200,703050502,2,3,16,"KAMPOT/KEP",7,"KAMPOT",3,"CHHUK",5,"DOUN YAY",5,"DOUN YAY",2,123,0.022442,126061,1244,23,32,0.25,4,10.789894,104.465475,c(104.465475, 10.789894)
"28",206,705080301,2,3,16,"KAMPOT/KEP",7,"KAMPOT",5,"DANG TONG",8,"TOTUNG",3,"CHANGKIENG KHANG KAEUT",1,80,0.014596,126061,1244,23,32,0.25,4,10.666686,104.5093,c(104.5093, 10.666686)
"29",210,706060702,2,3,16,"KAMPOT/KEP",7,"KAMPOT",6,"KAMPONG TRACH",6,"KAMPONG TRACH KHANG LECH",7,"KAMPONG TRACH TI PIR",2,74,0.013501,126061,1244,23,32,0.25,4,10.55751,104.473005,c(104.473005, 10.55751)
"30",211,706140101,2,3,16,"KAMPOT/KEP",7,"KAMPOT",6,"KAMPONG TRACH",14,"RUESSEI SROK KHANG LECH",1,"THKOV",1,119,0.021712,126061,1244,23,32,0.25,4,10.45709,104.470849,c(104.470849, 10.45709)
"31",216,707170203,2,3,16,"KAMPOT/KEP",7,"KAMPOT",7,"TUEK CHHOU",17,"TRAPEANG PRING",2,"TRAPEANG PRING KHANG TBOUNG",3,95,0.017333,126061,1244,23,32,0.25,4,10.598722,104.244123,c(104.244123, 10.598722)
"32",217,708010103,1,3,16,"KAMPOT/KEP",7,"KAMPOT",8,"KRONG KAMPOT",1,"KAMPONG KANDAL",1,"SOVANN SAKOR",3,176,0.130636,10778,95,8,31,0.090909091,11,10.602827,104.19043,c(104.19043, 10.602827)
"33",223,802010102,2,3,6,"KANDAL",8,"KANDAL",2,"KIEN SVAY",1,"BANTEAY DAEK",1,"KHSOM",2,177,0.016996,218700,2304,21,12,0.25,4,11.478938,105.134488,c(105.134488, 11.478938)
"34",225,802060301,1,3,6,"KANDAL",8,"KANDAL",2,"KIEN SVAY",6,"KOKIR",3,"SLAB TA AON",1,129,0.035509,36329,325,10,11,0.090909091,11,11.507402,105.053413,c(105.053413, 11.507402)
"35",229,803080201,2,3,6,"KANDAL",8,"KANDAL",3,"KHSACH KANDAL",8,"PREAEK LUONG",2,"PREAEK TA TEP",1,72,0.006914,218700,2304,21,12,0.25,4,11.635454,104.971426,c(104.971426, 11.635454)
"36",235,806070501,2,3,6,"KANDAL",8,"KANDAL",6,"LVEA AEM",7,"PEAM OKNHA ONG",5,"VEAL THUM",1,89,0.008546,218700,2304,21,12,0.25,4,11.537148,105.05649,c(105.05649, 11.537148)
"37",237,807080402,2,3,6,"KANDAL",8,"KANDAL",7,"MUKH KAMPUL",8,"ROKA KONG TI PIR",4,"PREAEK CHROV",2,110,0.010562,218700,2304,21,12,0.25,4,11.848669,104.986299,c(104.986299, 11.848669)
"38",240,808071101,2,3,6,"KANDAL",8,"KANDAL",8,"ANGK SNUOL",7,"KRANG MKAK",11,"SA ROMEANG",1,75,0.007202,218700,2304,21,12,0.25,4,11.477188,104.735335,c(104.735335, 11.477188)
"39",242,809050303,2,3,6,"KANDAL",8,"KANDAL",9,"POPNHEA LUEU",5,"KAOH CHEN",3,"PREAEK KDAM PIR",3,89,0.008546,218700,2304,21,12,0.25,4,11.809586,104.807995,c(104.807995, 11.809586)
